"year" "qtr" "t" "pop" "cpi" "total_exp" "meat_exp" "beef_q" "pork_q" "chick_q" "turkey_q" "beef_p" "pork_p" "chick_p" "turkey_p" "beef_w" "pork_w" "chick_w" "turkey_w"
"1" 1975 1 1 215.132 52.43 1143.95149 5028.97730203 22.0991 11.8074 9.2631 1.0724 134.8333 120.8 58.9 72.13 0.592505076295973 0.283623057798301 0.108490565224815 0.015381300680911
"2" 1975 2 2 215.646 53.23 1175.192619 5336.81024532 21.0304 11.0085 10.1645 1.3916 152.6333 129.8 58.97 70.83 0.601471516648898 0.267744820279688 0.112314385831055 0.0184692772403584
"3" 1975 3 3 216.294 54.37 1210.389562 5998.25545 22.2717 9.6583 10.2047 1.8937 163.2 157.4 68.93 73.87 0.605966429789181 0.253443094024947 0.117269092132447 0.0233213840534251
"4" 1975 4 4 216.851 55.23 1240.483097 6237.35168434 22.7502 10.4302 9.7381 3.9068 158.1667 161.8 66.3 78.27 0.576899338123621 0.270564567368719 0.103511243661470 0.0490248508461899
"5" 1976 1 5 217.315 55.77 1278.213653 5913.667952 23.8753 10.939 10.3294 1.145 148.7 149.4 61.93 78.1 0.600347726456184 0.276357518424295 0.108173091081932 0.0151216640375888
"6" 1976 2 6 217.773 56.47 1298.48512 5690.79315 22.8964 10.3597 10.9598 1.5151 148.2 146.3 60.7 77 0.59626951649086 0.266329151324012 0.116901079070147 0.020500253114981
"7" 1976 3 7 218.337 57.37 1329.141028 5921.820017 24.4652 11.0404 11.031 2.0091 142.8 145.1 60.9 76.87 0.589958923096396 0.270518528999731 0.113442809486184 0.0260797384176899
"8" 1976 4 8 218.92 58.03 1365.909921 5857.45292605 23.1085 13.1403 10.1654 4.2247 142.9333 126.6 55.13 78.23 0.56389256640213 0.284007742102646 0.0956761426980721 0.0564235487971515
"9" 1977 1 9 219.424 59.03 1403.219338 5485.98871092 22.9976 11.9593 10.3395 1.2198 142.1667 127.2 58.27 76.07 0.595971496152005 0.277292397079120 0.109822075244293 0.0169140315245817
"10" 1977 2 10 219.953 60.33 1432.468374 5518.24834623 22.6131 11.4488 11.2841 1.3872 143.9333 128.8 60.8 74.1 0.589820881920551 0.267223464309545 0.124328090537773 0.0186275632321307
"11" 1977 3 11 220.573 61.2 1464.254465 5839.68536 23.4054 11.2324 11.1785 2.109 146.5 138.6 61.9 76.83 0.587170521803593 0.266591527458596 0.118490827389372 0.0277471233484401
"12" 1977 4 12 221.206 61.87 1503.010768 6057.221264 22.7401 12.3959 10.4996 4.0197 150.8 135.7 59.3 80.42 0.566135349946827 0.277705495091850 0.102790743950608 0.0533684110107159
"13" 1978 1 13 221.711 62.93 1533.30582 5981.677853 22.0441 11.6947 10.8966 1.2211 160 144.9 61.4 74.53 0.589643255066147 0.283292091557576 0.111850095649074 0.0152145577272030
"14" 1978 2 14 222.278 64.53 1595.978 6618.34075366 21.7602 11.4791 11.8033 1.589 182.5333 150.7 66.93 79.6 0.600144547175736 0.261379767888704 0.119364490044295 0.0191111948912653
"15" 1978 3 15 222.929 66.07 1628.433268 6767.864772 21.6064 11.4611 11.6097 2.0336 186.2 153.1 70.5 84.37 0.594443272070744 0.259268538765656 0.120936791377131 0.0253513977864687
"16" 1978 4 16 223.574 67.4 1666.789669 7129.95318262 21.8814 12.3615 11.1396 3.88 186.4333 158.8 67.07 87.73 0.572152650393836 0.275318245396762 0.104787921163524 0.0477411830458778
"17" 1979 1 17 224.144 69.07 1708.165287 7269.876849 20.5086 12.1608 11.4686 1.3533 211.7 165.1 69.6 90.33 0.597213778194498 0.276173602621092 0.109797535306227 0.0168150838781836
"18" 1979 2 18 224.738 71.47 1743.033539 7518.132959 19.0408 13.1374 12.6605 1.7558 231.5 156.8 70.33 91.03 0.586308492286402 0.27399679298489 0.118435384138037 0.0212593305906709
"19" 1979 3 19 225.421 73.83 1796.749194 7258.575953 19.1457 13.5239 12.582 2.1241 222.7 146 65.93 89.83 0.58740824889182 0.272021593875302 0.114282920695643 0.0262872365372354
"20" 1979 4 20 226.135 75.93 1842.372919 7561.10279637 19.3989 14.8575 11.6184 4.0155 223.8333 142.1 64.87 88.17 0.574270701021894 0.279225240928293 0.0996793230164568 0.046824735033357
"21" 1980 1 21 226.753 78.93 1891.930629 7427.2453179 18.947 14.5643 12.1178 1.7761 231.1667 141.7 67.57 92.77 0.589709276781824 0.277863625296749 0.110242722699176 0.0221843752222509
"22" 1980 2 22 227.387 81.83 1890.283724 7250.410282 18.898 14.8637 12.6824 1.9508 227.5 132.5 63.53 90.2 0.592972650206225 0.271631559235947 0.111126521212224 0.0242692693456047
"23" 1980 3 23 228.07 83.33 1947.980769 7754.10181791 19.2127 13.5274 11.7869 2.5774 237.5333 152.6 75.07 93.63 0.588547344370578 0.266217969337472 0.114112840375173 0.0311218459167776
"24" 1980 4 24 228.696 85.53 2010.533657 8259.65159596 19.4988 14.3512 11.4689 3.9459 238.1667 163.2 77.27 98.17 0.562247062846026 0.283561093684095 0.107292891558945 0.0468989519109343
"25" 1981 1 25 229.148 87.8 2065.37274 7798.757727 19.3429 14.0974 12.0277 1.6042 233.5 157.3 75.43 98.13 0.579139307580134 0.284342852749835 0.116332554845116 0.0201852848249148
